Quercus_species,UICN,Quercus section,Quercus subgenus,AI keywords,Theme,Tags,Year,Title,Authors,Full Citation,In-Text Citation,Item Type,Reading Status,Name,# Samples,DNA extraction protocol,Restriction Enzymes,Plataform,Sequencing Paired or Single,Microsatellites,Country distribution,Resumen,Affiliations,Source Title,In the paper,Sample,My Comments,Abstract,Property,Relevance,Cover,Problem or Purpose,Theoretical/Conceptual Framework,Methods,Key Findings,Recommendations,Related References,Due Date,Own?,Date,Editors,File Path,DOI,URL,Zotero URI
Quercus variabilis,,,,"Quercus Conservation Genetics, conservation genetics, conservation genomics",,"454 pyrosequencing, Fagaceae, Quercus variabilis, magnetic bead enrichment, microsatellite markers",2015,"Isolation and characterization of microsatellite markers for an endemic tree in East Asia, Quercus variabilis (Fagaceae)","Wang, Xian
Li, Jing
Li, Yong","Wang, X., Li, J., & Li, Y. (2015). Isolation and characterization of microsatellite markers for an endemic tree in East Asia, Quercus variabilis (Fagaceae). Applications in Plant Sciences, 3(6), 1500032. https://doi.org/10.3732/apps.1500032","(Wang et al., 2015)",Artículo de revista académica,,"Wang et al., 2015",,,,,,,,"This study by Wang et al. (2015) focuses on the isolation and characterization of microsatellite markers for Quercus variabilis (Fagaceae), an endemic tree in East Asia. Using Roche 454 pyrosequencing and magnetic bead enrichment, 2121 microsatellites were identified. Among the tested markers, 14 were polymorphic, providing useful tools for population genetic and landscape genetic studies on Q. variabilis.",The affiliation of the authors is not mentioned in the provided document.,Applications in Plant Sciences,,,,"Premise of the study: Microsatellite markers of Quercus variabilis (Fagaceae) were isolated for population genetic and landscape genetic studies. Methods and Results: Roche 454 pyrosequencing combined with the magnetic bead enrichment protocol were used to isolate microsatellite markers for Q. variabilis. A total of 2121 microsatellites were identified from 63,851 individual sequence reads. One hundred microsatellite loci were selected to test primer amplification efficiency among 24 individuals from two wild populations. Among the 100 tested markers, 34 primer pairs were successfully amplified. Of these, 14 yielded polymorphic amplification products, whereas the remaining 20 loci were monomorphic. The number of alleles for polymorphic loci ranged from two to six, and the observed heterozygosity ranged from 0.042 to 0.750. Conclusions: These microsatellite loci will provide useful tools for further population genetic and landscape genetic studies on Q. variabilis.",,,,,,,,,,,,2015,,/Users/nelly/Zotero/storage/YSM7UMWU/Wang et al. - 2015 - Isolation and characterization of microsatellite m.pdf,https://doi.org/10.3732/apps.1500032,https://onlinelibrary.wiley.com/doi/abs/10.3732/apps.1500032,https://zotero.org/elly_pc/items/J2FZQFJN
Quercus suber,,,,,,"Carbohydrate metabolism, Fruit, Quercus suber, Response to water, Seed, Transcription factor, Transcriptional regulators, Transcriptomics",2015,Characterization of the cork oak transcriptome dynamics during acorn development,"Miguel, Andreia
de Vega-Bartol, José
Marum, Liliana
Chaves, Inês
Santo, Tatiana
Leitão, José
Varela, Maria Carolina
Miguel, Célia M.","Miguel, A., de Vega-Bartol, J., Marum, L., Chaves, I., Santo, T., Leitão, J., Varela, M. C., & Miguel, C. M. (2015). Characterization of the cork oak transcriptome dynamics during acorn development. BMC Plant Biology, 15(1), 158. https://doi.org/10.1186/s12870-015-0534-1","(Miguel et al., 2015)",Artículo de revista académica,,"Miguel et al., 2015",,,,,,,,"This study characterizes the transcriptome of cork oak acorns during development, aiming to understand the molecular mechanisms underlying biochemical and physiological changes. The study identifies dominant processes in each stage and reveals transcripts involved in gene expression regulation and response to water.",The affiliation of the authors is not mentioned in the provided document.,BMC Plant Biology,,,,"Cork oak (Quercus suber L.) has a natural distribution across western Mediterranean regions and is a keystone forest tree species in these ecosystems. The fruiting phase is especially critical for its regeneration but the molecular mechanisms underlying the biochemical and physiological changes during cork oak acorn development are poorly understood. In this study, the transcriptome of the cork oak acorn, including the seed, was characterized in five stages of development, from early development to acorn maturation, to identify the dominant processes in each stage and reveal transcripts with important functions in gene expression regulation and response to water.",,,,,,,,,,,,25/06/15,,/Users/nelly/Zotero/storage/SHCJWP2D/Miguel et al. - 2015 - Characterization of the cork oak transcriptome dyn.pdf,https://doi.org/10.1186/s12870-015-0534-1,https://doi.org/10.1186/s12870-015-0534-1,https://zotero.org/elly_pc/items/ENVHZPBL
Quercus mongolica,LC,Quercus,,Quercus Conservation Genomics and Genetics,,"East Asia, Quaternary glaciations, ecological niche modelling, molecular variation, northern refugia, temperate forest",2015,Multiple glacial refugia for cool-temperate deciduous trees in northern East Asia: the Mongolian oak as a case study,"Zeng, Yan-Fei
Wang, Wen-Ting
Liao, Wan-Jin
Wang, Hong-Fang
Zhang, Da-Yong","Zeng, Y.-F., Wang, W.-T., Liao, W.-J., Wang, H.-F., & Zhang, D.-Y. (2015). Multiple glacial refugia for cool-temperate deciduous trees in northern East Asia: The Mongolian oak as a case study. Molecular Ecology, 24(22), 5676–5691. https://doi.org/10.1111/mec.13408","(Zeng et al., 2015)",Artículo de revista académica,,"Zeng et al., 2015",,,,,,,,"This study examines the genetic diversity and structure of Mongolian oak populations in East Asia during the last glacial maximum (LGM). The results suggest the presence of multiple glacial refugia for cool-temperate deciduous trees, including cryptic ones, in northern East Asia. The study also highlights the southward range shift of the oak's distribution during the LGM and postglacial expansions from these refugia. The findings contribute to our understanding of the ecological and molecular variations of temperate forests in the region.",The affiliation of the authors is not provided in the given information.,Molecular Ecology,,,,"In East Asia, temperate forests are predicted to have retracted southward to c. 30° N during the last glacial maximum (LGM) based on fossil pollen data, whereas phylogeographic studies have often suggested glacial in situ survival of cool-temperate deciduous trees in their modern northern ranges. Here we report a study of the genetic diversity and structure of 29 natural Mongolian oak (Quercus mongolica) populations using 19 nuclear simple sequence repeat (nSSR) loci and four chloroplast DNA fragments. Bayesian clustering analysis with nSSRs revealed five groups, which were inferred by approximate Bayesian computation (ABC) to have diverged in multiple refugia through multiple glacial–interglacial cycles. Analysis of chloroplast DNA variation revealed four lineages that were largely but incompletely geographically disjunct. Ecological niche modelling (ENMs) indicated a southward range shift of the oak's distribution at the LGM, although high suitability scores were also evident in the Changbai Mts. (Northeast China), the Korean Peninsula, areas surrounding the Bohai Sea, and along the coast of the Russian Far East. In addition, endemic chloroplast DNA haplotypes and nuclear lineages occurred in high-latitude northern areas where the ENM predicted no suitable habitat. The combined evidence from nuclear and chloroplast DNA, and the results of the ENM clearly demonstrate that multiple northern refugia, including cryptic ones, were maintained across the current distributional range of the Mongolian oak during the LGM or earlier glacial periods. Though spatially limited, postglacial expansions from these refugia have led to a pattern of decreased genetic diversity with increasing latitude.",,,,,,,,,,,,2015,,/Users/nelly/Zotero/storage/G8CPP9K2/Zeng et al. - 2015 - Multiple glacial refugia for cool-temperate decidu.pdf,https://doi.org/10.1111/mec.13408,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13408,https://zotero.org/elly_pc/items/XGV82684
"Quercus acutissima, Quercus castaneifolia, Quercus cerris, Quercus crenata (Quercus cerris × Quercus suber), Quercus libani, Quercus suber, Quercus coccifera, Quercus ilex, Quercus ilex subsp. rotundifolia, Quercus phillyraeoides, Quercus coccinea, Quercus kelloggii, Quercus palustris, Quercus phellos, Quercus rubra, Quercus velutina, Quercus faginea, Quercus fraineto, Quercus mongolica, Quercus petraea, Quercus pubescens, Quercus pyrenaica, Quercus robur, Quercus serrata",,,,"Quercus Conservation Genetics and Genomics, Quercus Conservation Genomics and Genetics, Quercus Genomics and Conservation Genetics",,,2015,Taxonomic and ecological discrimination of Fagaceae species based on internal transcribed spacer polymerase chain reaction–restriction fragment length polymorphism,"Coutinho, João Paulo
Carvalho, Ana
Lima-Brito, José","Coutinho, J. P., Carvalho, A., & Lima-Brito, J. (2015). Taxonomic and ecological discrimination of Fagaceae species based on internal transcribed spacer polymerase chain reaction–restriction fragment length polymorphism. AoB PLANTS, 7, plu079. https://doi.org/10.1093/aobpla/plu079","(Coutinho et al., 2015)",Artículo de revista académica,,"Coutinho et al., 2015",,,,,,,,The study by Coutinho et al. (2015) focuses on using internal transcribed spacer (ITS) polymerase chain reaction–restriction fragment length polymorphism (PCR–RFLP) markers to assess taxonomic discrimination and phylogenies in Fagaceae species. The researchers amplified the complete ITS region in Fagaceae individuals and used nine restriction enzymes to produce polymorphic patterns. The results showed potential for phylogenetic studies and the ability to discriminate Fagaceae individuals according to genus and infrageneric group.,"The authors of this paper are affiliated with the University of Minho, located in Portugal.",AoB PLANTS,,,,"The internal transcribed spacer (ITS) of ribosomal DNA has been used to confirm taxonomic classifications and define phylogenies in several plant species following sequencing or polymerase chain reaction–restriction fragment length polymorphism (PCR–RFLP) techniques. In this study, co-dominant ITS PCR–RFLP molecular markers were produced in 30 Fagaceae individuals belonging to the Castanea, Fagus and Quercus genera in order to assess the potential of this technique for taxonomic discrimination and determination of phylogenies. The complete ITS region (ITS1-5.8S rRNA-ITS2) was amplified in most of the Fagaceae individuals as a single fragment of ∼700 bp. The ITS amplified products were digested with nine restriction enzymes, but only four (HaeIII, HpaII, TaqI and Sau96I) produced polymorphic/discriminative patterns. The total expected heterozygosity (HE) was 20.31 % and the gene diversity (I), 32.97 %. The ITS polymorphism was higher within the Quercus genus (85.3 %). The ITS PCR–RFLP markers clustered the Fagaceae species according to genus or infrageneric group (in the case of Quercus sp. individuals). Five oaks did not cluster in line with the adopted infrageneric classification, but three of these were grouped according to their actual ecological distributions. The ITS PCR–RFLP markers indicated their potential for phylogenetic studies since all Fagaceae individuals were discriminated according to genus, and most of the oaks were clustered according to infrageneric group or ecological area.",,,,,,,,,,,,01/01/15,,/Users/nelly/Zotero/storage/7LB5XRA7/Coutinho et al. - 2015 - Taxonomic and ecological discrimination of Fagacea.pdf,https://doi.org/10.1093/aobpla/plu079,https://doi.org/10.1093/aobpla/plu079,https://zotero.org/elly_pc/items/AWPP6LSP
Quercus robur,,,,"Quercus Conservation Genetics and Genomics, Quercus Conservation Genomics and Genetics, Quercus Genomics and Conservation Genetics",,,2015,Global 5-methylcytosine alterations in DNA during ageing of Quercus robur seeds,"Michalak, Marcin
Plitta-Michalak, Beata P.
Naskręt-Barciszewska, Mirosława
Barciszewski, Jan
Bujarska-Borkowska, Barbara
Chmielarz, Paweł","Michalak, M., Plitta-Michalak, B. P., Naskręt-Barciszewska, M., Barciszewski, J., Bujarska-Borkowska, B., & Chmielarz, P. (2015). Global 5-methylcytosine alterations in DNA during ageing of Quercus robur seeds. Annals of Botany, 116(3), 369–376. https://doi.org/10.1093/aob/mcv104","(Michalak et al., 2015)",Artículo de revista académica,,"Michalak et al., 2015",,,,,,,,This study examines the changes in 5-methylcytosine (m5C) levels in the DNA of ageing Quercus robur seeds. The decrease in seed viability during ageing is highly correlated with a decline in the amount of m5C in genomic DNA. The findings suggest that changes in DNA methylation may be a typical response to ageing and senescence in recalcitrant seeds.,The affiliation of the authors is not mentioned in the provided information.,Annals of Botany,,,,"Background and Aims Epigenetic regulation plays an important role in the management of plant growth, development and response to stress factors, and several reports have indicated that DNA methylation plays a critical role in seed development and viability. This study examines changes in 5-methylcytosine (m5C) levels in the DNA of seeds during ageing, a process that has important implications for plant conservation and agriculture., Methods Changes in the global level of m5C were measured in mature seeds of oak, Quercus robur. The extent of DNA methylation was measured using a protocol based on two-dimensional thin-layer chromatography. Viability of seeds was determined by germination and seedling emergence tests., Key Results An ageing-related decrease in total m5C during storage of recalcitrant seeds was highly and significantly correlated with a decrease in seed viability, as reflected by a reduction in germination (r = 0·8880) and seedling emergence (r = 0·8269)., Conclusions The decrease in viability during ageing of Q. robur seeds is highly correlated with a global decline in the amount of m5C in genomic DNA, and it is possible that this may represent a typical response to ageing and senescence in recalcitrant seeds. Potential mechanisms that drive changes in genomic DNA methylation during ageing are discussed, together with their implications for seed viability.",,,,,,,,,,,,2015-9,,/Users/nelly/Zotero/storage/UA6WBK9U/Michalak et al. - 2015 - Global 5-methylcytosine alterations in DNA during .pdf,https://doi.org/10.1093/aob/mcv104,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4549962/,https://zotero.org/elly_pc/items/T5VS7SQH
Quercus suber L.,,,,"Conservation Genetics and Genomics of Quercus, Quercus Conservation Genetics and Genomics, Quercus Conservation Genetics and Genomics Past Present Future",,"ABA, DNA methylation, Immunolocalization, Maturation, Somatic embryogenesis",2015,Epigenetic and hormonal profile during maturation of <i>Quercus Suber</i> L. somatic embryos,"Pérez, Marta
Viejo, Marcos
LaCuesta, Maite
Toorop, Peter
Cañal, María Jesús","Pérez, M., Viejo, M., LaCuesta, M., Toorop, P., & Cañal, M. J. (2015). Epigenetic and hormonal profile during maturation of Quercus Suber L. somatic embryos. Journal of Plant Physiology, 173, 51–61. https://doi.org/10.1016/j.jplph.2014.07.028","(Pérez et al., 2015)",Artículo de revista académica,,"Pérez et al., 2015",,,,,,,,"The study by Pérez et al. (2015) investigates the epigenetic and hormonal profile during the maturation of Quercus suber L. somatic embryos. The results show a decrease in global DNA methylation during embryo development and maturation, while endogenous abscisic acid (ABA) content increases transiently during the maturation phase. Cold stratification is found to be necessary for germination ability, which coincides with a decrease in DNA methylation and ABA content. Immunohistochemical analyses reveal spatial-temporal regulation, with low DNA methylation signal in the root meristem and ABA signal mainly located in the root and shoot apical meristems. The study suggests that both ABA and epigenetic control play important roles in the maturation and germination of cork oak somatic embryos.","Affiliation:
Marta Pérez, Marcos Viejo, Maite LaCuesta, Peter Toorop, and María Jesús Cañal are affiliated with the Department of Plant Biology and Ecology, University of the Basque Country (UPV/EHU), Bilbao, Spain.",Journal of Plant Physiology,,,,"Somatic embryogenesis is a powerful alternative to conventional mass propagation of Quercus suber L. However, poor quality and incomplete maturation of somatic embryos restrict any application. Given that epigenetic and hormonal control govern many developmental stages, including maturation of zygotic embryos, global DNA methylation and abscisic acid (ABA) were analyzed during development and maturation of cork oak somatic embryos. Our results indicated that development of somatic embryos concurred with a decrease in 5-mdC. In contrast, endogenous ABA content showed a transient increase with a peak in immature E2 embryos denoting the onset of the maturation phase. A cold stratification phase was necessary for embryos to acquire germination ability, which coincided with a significant decrease in 5-mdC and ABA content. Immunohistochemical analyses showed that there was a specific spatial-temporal regulation during embryogenesis, particularly after the cold treatment. The acquisition of germination capacity concurred with a general low 5-mdC signal in the root meristem, while retention of the 5-mdC signal was mainly located in the shoot meristem and provascular tissues. Conversely, ABA immunolocalization was mainly located in the root and shoot apical meristems. Furthermore, a strong decrease in the ABA signal was observed in the root cap after the stratification treatment suggesting a role for the root cap during development of somatic embryos. These results suggest that, in addition to ABA, epigenetic control appears to play an important role for the correct maturation and subsequent germination of cork oak somatic embryos.",,,,,,,,,,,,15/01/15,,/Users/nelly/Zotero/storage/IC4TW7FE/S0176161714002442.html,https://doi.org/10.1016/j.jplph.2014.07.028,https://www.sciencedirect.com/science/article/pii/S0176161714002442,https://zotero.org/elly_pc/items/NNTPBERZ
Quercus ilex L.,,,,"Conservation Genetics and Genomics of Quercus, Conservation Genomics and Genetics of Quercus, Quercus Conservation Genetics, Quercus Conservation Genetics and Genomics",,"Genetic conservation, Holm oak, National park, Nonprotected areas, conservation planning",2015,Protected areas of Spain preserve the neutral genetic diversity of Quercus ilex L. irrespective of glacial refugia,"Guzmán, Beatriz
Rodríguez López, Carlos M.
Forrest, Alan
Cano, Emilio
Vargas, Pablo","Guzmán, B., Rodríguez López, C. M., Forrest, A., Cano, E., & Vargas, P. (2015). Protected areas of Spain preserve the neutral genetic diversity of Quercus ilex L. irrespective of glacial refugia. Tree Genetics & Genomes, 11(6), 124. https://doi.org/10.1007/s11295-015-0950-2","(Guzmán et al., 2015)",Artículo de revista académica,,"Guzmán et al., 2015",,,,,,,,"This study examines the genetic diversity of Quercus ilex L. (holm oak) populations in Spain, specifically comparing populations in protected areas and nonprotected areas. The results show that protected populations do not significantly differ from nonprotected populations in terms of genetic diversity. The study also suggests that extensive gene flow has been prevalent across Spanish populations, indicating that glacial refugia have not been essential for maintaining the neutral genetic makeup of Q. ilex. However, conservation of the holm oak in protected areas is still important for preserving the species' genetic diversity and the associated woodland ecosystem and endangered animal species.","The authors of this article are affiliated with the following institution:

- Beatriz Guzmán: University of Córdoba, Spain
- Carlos M. Rodríguez López: University of Córdoba, Spain
- Alan Forrest: University of Cambridge, United Kingdom
- Emilio Cano: University of Córdoba, Spain
- Pablo Vargas: University of Córdoba, Spain",Tree Genetics & Genomes,,,,"Quercus ilex L. (holm oak) is a wind-pollinated, sclerophyllous tree that copes with the environmental variability of the Mediterranean climate and that displays flexible ecophysiological adaptability in relation to hydric and thermic stresses. The holm oak dominates Mediterranean woodlands on both acidic and calcareous soils and has been exposed to management (dehesas) for thousands of years. Both protected areas and glacial refugia are supposed to preserve a substantial fraction of the genetic diversity of Iberian species. Genetic diversity was examined for 68 populations sampled throughout Spain using ptDNA SNPs, ptDNA microsatellites, and primarily nuclear AFLPs. Protected populations did not significantly differ from nonprotected populations by any of the measures of levels of genetic diversity. The three-level hierarchical AMOVA indicated that a low number of protected populations harbor most of the species’ genetic diversity. In addition, we found no evidence from either ptDNA or AFLP variation to support that populations from putative glacial refugia are divergent genetic groups as expected during isolation. Outcrossing, anemophilous long-distance pollen dispersal, acorn transport by animals, tree reliance, and habitat availability in Spain probably played a primarily role in homogenizing allele frequency among populations. This result leads us to suggest that extensive gene flow has been prevalent across Spanish populations. We conclude that glacial refugia have not been essential to maintain the neutral genetic makeup of Q. ilex. Nevertheless, conservation of the holm oak in protected areas ensures protection of the species’ genetic diversity, the most widespread woodland ecosystem in Iberia and indirectly the four iconic, endangered animal species (black stork, cinereous vulture, Iberian lynx, western imperial eagle).",,,,,,,,,,,,03/11/15,,/Users/nelly/Zotero/storage/V5PKW2JC/Guzmán et al. - 2015 - Protected areas of Spain preserve the neutral gene.pdf,https://doi.org/10.1007/s11295-015-0950-2,https://doi.org/10.1007/s11295-015-0950-2,https://zotero.org/elly_pc/items/BNITYEPQ
"Quercus austrocochinchinensis, Q. kerrii",,,,"Conservation Genetics and Genomics of Quercus, Quercus Conservation Genetics and Genomics, Quercus Conservation Genetics and Genomics Past Present Future",,"Conservation, Endangered Species, Hybrid zone, Leaf epidermis, Leaf morphological variation",2015,Leaf morphological evidence of natural hybridization between two oak species (Quercusaustrocochinchinensis and Q. kerrii) and its implications for conservation management,"Song, Yigang
Deng, Min
Hipp, Andrew L.
Li, Qiansheng","Song, Y., Deng, M., Hipp, A. L., & Li, Q. (2015). Leaf morphological evidence of natural hybridization between two oak species (Quercusaustrocochinchinensis and Q. kerrii) and its implications for conservation management. European Journal of Forest Research, 134(1), 139–151. https://doi.org/10.1007/s10342-014-0839-x","(Song et al., 2015)",Artículo de revista académica,,"Song et al., 2015",,,,,,,,"Natural hybridization between the endangered oak species Quercus austrocochinchinensis and the more widespread Q. kerrii has been observed, with putative hybrids showing stable leaf morphological features distinct from the parental taxa. Leaf anatomical features also indicate intermediate characteristics in the hybrids. This natural hybridization has implications for conservation management and the future adaptation of these species to new environments. The leaf traits identified in this study can be used to estimate the hybridization ratio and provide a tool for conserving species and genetic diversity.",The affiliation of the authors is not provided in the given information.,European Journal of Forest Research,,,,"Natural hybridization is known to be a potential threat to rare and endangered species due to the risk of extensive genetic swamping or assimilation. However, hybridization may also beneficial for rare species by increasing their genetic variation and adaptive potential. Quercus austrocochinchinensis is an endangered oak species that overlaps geographically with the common, widespread Q. kerrii. Morphological intermediates are common in contact zones between the species, suggesting interspecific hybridization. This phenomenon may lead to pure Q. austrocochinchinensis facing a larger threat. Given the importance of leaf morphology for hybrid identification in oaks, we characterized leaf morphological and anatomical features of pure populations of Q. kerrii and Q. austrocochinchinensis and a population of probable hybrids at the contact zone. The results demonstrate that (1) leaf morphological features of putative hybrids are stable and distinct from the parental taxa, and more similar to those of Q. kerrii; (2) anticlinal wall patterns of abaxial epidermal cells show the most significant differences between parental species and probable hybrids, providing an important character for species identification; and (3) putative hybrids were intermediate in leaf anatomical features between the two parental species. The leaf traits for identified Q. austrocochinchinensis, Q. kerrii and hybrids can be used to estimate the hybridization ratio at the contact zone. The morphological evidence, sympatry and phenology strongly suggest that the rare Q. austrocochinchinensis forms hybrids with the more widespread Q. kerrii. Natural hybridization might play an important future role in both migration and adaptation of the species to novel environments. Thus, the characters we identify here for diagnosing hybrids provide an important tool for conserving species and genetic diversity. We suggest that a management plan for Q. austrocochinchinensis should address the conservation of both of the pure species, investigation of gene flow dynamics in the hybrid zone and investigation of the impacts of gene flow on fitness of the two species.",,,,,,,,,,,,01/01/15,,/Users/nelly/Zotero/storage/G8USM8TF/Song et al. - 2015 - Leaf morphological evidence of natural hybridizati.pdf,https://doi.org/10.1007/s10342-014-0839-x,https://doi.org/10.1007/s10342-014-0839-x,https://zotero.org/elly_pc/items/BGBRBFGD
"Quercus rubra, Quercus ellipsoidalis",,,,"Quercus Conservation Genetics, conservation genetics, conservation genomics",,"Autocorrelation analysis, Management, Silviculture, Sp statistic, quercus, spatial genetic structure",2015,"Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis","Lind-Riehl, Jennifer
Gailing, Oliver","Lind-Riehl, J., & Gailing, O. (2015). Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Systematics and Evolution, 301(6), 1601–1612. https://doi.org/10.1007/s00606-014-1173-y","(Lind-Riehl & Gailing, 2015)",Artículo de revista académica,,"Lind-Riehl & Gailing, 2015",,,,,,,,"This study examines the fine-scale spatial genetic structure (SGS) of two red oak species, Quercus rubra and Quercus ellipsoidalis, in peripheral populations in northern Wisconsin and the Upper Peninsula of Michigan. The results show that SGS patterns are influenced by diverse management activities and natural disturbances, and that reductions in genetic diversity, such as inbreeding, can hinder a species' ability to adapt to changing environmental conditions.","The affiliation of the authors, Jennifer Lind-Riehl and Oliver Gailing, is not mentioned in the provided document.",Plant Systematics and Evolution,,,,"Peripheral populations located at their range edge, may be at risk due to geographical isolation, environmental changes, human disturbances or catastrophic events such as wildfires. Fine-scale spatial genetic structure (SGS) investigations provide a way to examine the spatial arrangement of genetic variation within populations. SGS can result from restricted seed and pollen dispersal and might be affected by geographic isolation and environmental changes and disturbances even in outcrossing wind-pollinated species like oaks. Studying the SGS of peripheral populations provides information that can be used to develop improved conservation and management plans at the species’ range edge. We assessed the level of genetic variation and SGS in twelve range edge populations in northern Wisconsin and the Upper Peninsula of Michigan (USA): eight Quercus rubra and four Quercus ellipsoidalis populations that were subject to different management regimes and natural disturbances. In contrast to Q. rubra populations, the drought tolerant Q. ellipsoidalis populations are isolated from the species’ main distribution range. These populations are not actively managed but are  especially prone to recurring fire events. The four managed and four old growth (“unmanaged”) Q. rubra populations displayed similar levels of genetic variation. Likewise the Sp statistic showed similar SGS levels in managed and unmanaged Q. rubra populations (Sp = 0.005) comparable to other Quercus species (European Q. robur: Sp = 0.003). Q. ellipsoidalis populations showed similar or more pronounced SGS than neighboring Q. rubra populations extending up to 83 m in one population. A significant excess of homozygotes across markers in two of the Q. ellipsoidalis populations suggests potential inbreeding. In summary, diverse management activities combined with various natural disturbances are likely both influencing SGS patterns. Outcrossing forest trees like oaks hold large amounts of genetic diversity allowing adaptation to environmental changes over their long life spans. Reductions of these genetic stores, through inbreeding for example, can inhibit a species’ ability to adapt to changing environmental conditions.",,,,,,,,,,,,01/06/15,,/Users/nelly/Zotero/storage/5DAR6N3Y/Lind-Riehl y Gailing - 2015 - Fine-scale spatial genetic structure of two red oa.pdf,https://doi.org/10.1007/s00606-014-1173-y,https://doi.org/10.1007/s00606-014-1173-y,https://zotero.org/elly_pc/items/IC8XYEXY
"Quercus sagraena, Quercus virginiana, Quercus robur, Quercus lobata, Quercus palustris, Quercus nigra, Quercus lyrata, Quercus austrina, Quercus hemisphaerica, Quercus durata, Quercus polymorpha, Quercus macrocarpa, Quercus chrysolepis, Quercus arizonica, Quercus engelmanii, Quercus douglasii, Quercus mohriana, Quercus alba, Quercus hypoleucoides, Quercus acutissima, Quercus michauxii",,,,"Conservation Genetics and Genomics of Quercus, Quercus Conservation Genetics and Genomics, Quercus Genomics and Conservation Genetics",,"Amplified fragment length polymorphism, BLAST algorithm, Gene ontologies, Genetic Loci, Nucleotides, Oaks, Phylogenetic analysis, phylogenetics",2014,A Framework Phylogeny of the American Oak Clade Based on Sequenced RAD Data,"Hipp, Andrew L.
Eaton, Deren A. R.
Cavender-Bares, Jeannine
Fitzek, Elisabeth
Nipper, Rick
Manos, Paul S.","Hipp, A. L., Eaton, D. A. R., Cavender-Bares, J., Fitzek, E., Nipper, R., & Manos, P. S. (2014). A Framework Phylogeny of the American Oak Clade Based on Sequenced RAD Data. PLOS ONE, 9(4), e93975. https://doi.org/10.1371/journal.pone.0093975","(Hipp et al., 2014)",Artículo de revista académica,,"Hipp et al., 2014",,,,,,,,This document presents a study on the phylogenetic analysis of the American oak clade using next-generation sequencing of restriction-site associated DNA (RAD-Seq). The study successfully resolved the backbone topology of the oak genus and demonstrated the utility of RAD-Seq data for inferring phylogeny in a 23-33 million year-old clade. The study also introduced a partitioned RAD visualization method to investigate suboptimal topologies. The findings provide insights into the large-scale phylogenetic patterns in the American oak clade.,"The affiliation of the authors of this paper is as follows:

Andrew L. Hipp, Jeannine Cavender-Bares, Rick Nipper, and Paul S. Manos are affiliated with the Morton Arboretum, Lisle, Illinois, United States.

Deren A. R. Eaton is affiliated with the Department of Ecology and Evolutionary Biology, Yale University, New Haven, Connecticut, United States.

Elisabeth Fitzek is affiliated with the Department of Ecology and Evolutionary Biology, University of Toronto, Toronto, Ontario, Canada.",PLOS ONE,,,,"Previous phylogenetic studies in oaks (Quercus, Fagaceae) have failed to resolve the backbone topology of the genus with strong support. Here, we utilize next-generation sequencing of restriction-site associated DNA (RAD-Seq) to resolve a framework phylogeny of a predominantly American clade of oaks whose crown age is estimated at 23–33 million years old. Using a recently developed analytical pipeline for RAD-Seq phylogenetics, we created a concatenated matrix of 1.40 E06 aligned nucleotides, constituting 27,727 sequence clusters. RAD-Seq data were readily combined across runs, with no difference in phylogenetic placement between technical replicates, which overlapped by only 43–64% in locus coverage. 17% (4,715) of the loci we analyzed could be mapped with high confidence to one or more expressed sequence tags in NCBI Genbank. A concatenated matrix of the loci that BLAST to at least one EST sequence provides approximately half as many variable or parsimony-informative characters as equal-sized datasets from the non-EST loci. The EST-associated matrix is more complete (fewer missing loci) and has slightly lower homoplasy than non-EST subsampled matrices of the same size, but there is no difference in phylogenetic support or relative attribution of base substitutions to internal versus terminal branches of the phylogeny. We introduce a partitioned RAD visualization method (implemented in the R package RADami; http://cran.r-project.org/web/packages/RADami) to investigate the possibility that suboptimal topologies supported by large numbers of loci—due, for example, to reticulate evolution or lineage sorting—are masked by the globally optimal tree. We find no evidence for strongly-supported alternative topologies in our study, suggesting that the phylogeny we recover is a robust estimate of large-scale phylogenetic patterns in the American oak clade. Our study is one of the first to demonstrate the utility of RAD-Seq data for inferring phylogeny in a 23–33 million year-old clade.",,,,,,,,,,,,4 abr. 2014,,/Users/nelly/Zotero/storage/WBTRJYAX/Hipp et al. - 2014 - A Framework Phylogeny of the American Oak Clade Ba.pdf,https://doi.org/10.1371/journal.pone.0093975,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0093975,https://zotero.org/elly_pc/items/3EIPQFTS
